0,Classically the performance limits of communications networks are studied by using a framework of information theory -- a science put forth by the pioneering engineer and scientist Claude Shannon 
1,Third it will explore the strategies such workers use to accommodate challenge workplace expectations that may be affected by their religious expression 
0,Uncovering what pressures organisms are responding to and how they are responding is fundamental to our understanding of how organisms react to rapid environmental change and will affect conservation efforts The fellow is combining museum specimens of the native bee Ceratina calcarata from the past hundred years with climate and land use data to reconstruct how bee populations have responded to environmental change 
0,To this end the research builds on the previously fruitful methodology to connect these interactions with the observed population phenotypes 
1,The research project integrates state-of-the-art knowledge and modeling capabilities in climate hydrologic agronomic biogeochemical engineering and economic sciences 
1,In this project researchers will study the effect of external perturbations by nitrite sulfide and recalcitrant carbon on ANAMMOX process stability 
1,With a relatively small drainage area < 500 km2) uniform bedrock and a known history of climate and base level variation the study area offers an unparalleled natural experiment that scales well to a LEM exploring the geomorphic and sedimentologic responses to tectonic forcings in a system with low source storage 
0,Women spend far more time with their children today than in the past several decades 
0,Broader impacts include developing novel and widely applicable methodology to understand multicellular patterns cross-disciplinary training for participating students and educational and outreach activities based on the research results and methods This award reflects NSF s statutory mission and has been deemed worthy of support through evaluation using the Foundation s intellectual merit and broader impacts review criteria 
1,The proposed approach explicitly incorporates interdependency human-centric and extremality hypotheses to enable deeper understanding of the natural-socioeconomic interactions underpinning China s FEW systems resilience and sustainability 
0,The high cost to parenting may create tensions between investment in children and investment in self 
0,The proposed work will advance knowledge by developing a unified view of communication networks through the lens of information and estimation theories 
0,Nitrification and denitrification have been used for N removal in wastewater treatment plants for decades 
0,Actionable strategies for improving both U S and China s agricultural economic and environmental sustainability must be developed through better understanding of how their mutual interactions with climate affect the evolution of the coupled FEW systems 
0,Additionally while most studies have not considered if species have been responding genetically to climate change this study sheds light on whether temperature or resource abundance is causing populations to evolve 
1,This project focuses on solving one of the fundamental problems of modern developmental biology: how individual cells self-organize into multicellular structures 
0,The emphasis of the mathematical component of this research is on the advancement of agent-based and kinetic models that go beyond the existing oversimplified models of the phenomena that postulate and analyze a single mechanism for self-organization 
0,This soil bacterium is tractable and has a relatively simple genome and as such is an excellent model system to develop novel mathematical models and experimentally test their predictions 
1,Thermoacoustic systems involve no combustion and therefore mitigate major concerns over the environmental footprint of fossil-fuel-based energy in the U S economy 
1,Three principal research questions are addressed: 1) How intensive mothering beliefs and behaviors affect maternal physical health; 2) How the effects in 1) vary by social class and employment status; and 3) How the relationship between intensive mothering and child health is affected by maternal physical health 
1,Minimal rigorous research has been conducted on the effect of various supports for quality mathematics instruction and providing guidance on the development and use of Elementary Mathematics Specialists EMSs) on student achievement 
1,The overarching goal of this project is to develop evaluate and apply a coupled modeling framework to address the adaptability of China s Food production-Energy development-Water supply systems CFEW) 
0,However this process is highly energy intensive 
0,Member of religious groups sometimes perceive and experience hostility and discrimination at work 
0,Graduate undergraduate and K-12 students will obtain industrial and entrepreneurial experiences though this collaboration 
0,Across species and the globe animal body size has decreased suggesting a response to some major environmental change occurring over the past 50-100 years 
0,Under starvation M xanthus cells coordinate their movement in space and time bringing tens of thousands of cells together into multicellular aggregates to differentiate into spores 
0,This action funds an NSF Postdoctoral Research Fellowship in Biology for FY 2019 Research Using Biological Collections 
1,Disordered systems are also used in modeling many other micro and macro effects: from quantum localization to earthquakes 
0,Using image measurements to understand and acquire properties of the physical world such as the shape of an object the reflectance of a surface or the lighting in a room) is a critical capability for many sciences including medicine material fabrication remote sensing robotics autonomous navigation architectural design computer graphics and computer vision 
0,This is due in part to concerns about process inhibition due to external perturbations 
1,This objective of this research project is to benefit the national interests by advancing the field of thermoacoustic energy generation using innovative concepts in metamaterials and acoustic wave control 
